member_name,member_start_date,member_end_date,political_party,administrative_region,gender,roles,government_name
παπασταμκος κωνσταντινου γεωργιος,1993-10-10,1996-08-24,νεα δημοκρατια,ημαθιας,male,['υφυπουργος εξωτερικων(28/12/1990-13/10/1993)'],"['μητσοτακη κωνσταντινου(11/04/1990-13/10/1993)', 'παπανδρεου ανδρεα(13/10/1993-22/01/1996)', 'σημιτη κωνσταντινου(22/01/1996-25/09/1996)']"
παπαστεφανακης ευαγγελου εμμανουηλ,1989-06-18,1989-10-12,πανελληνιο σοσιαλιστικο κινημα,ηρακλειου,male,[],"['τζαννετακη τζαννη(02/07/1989-12/10/1989)', 'γριβα ιωαννη(12/10/1989-23/11/1989)']"
παπαστεφανακης ευαγγελου εμμανουηλ,1989-11-05,1990-03-12,πανελληνιο σοσιαλιστικο κινημα,ηρακλειου,male,[],"['γριβα ιωαννη(12/10/1989-23/11/1989)', 'ζολωτα ξενοφωντα(23/11/1989-11/04/1990)']"
παπαστεφανακης ευαγγελου εμμανουηλ,1993-10-10,1996-08-24,πανελληνιο σοσιαλιστικο κινημα,ηρακλειου,male,[],"['μητσοτακη κωνσταντινου(11/04/1990-13/10/1993)', 'παπανδρεου ανδρεα(13/10/1993-22/01/1996)', 'σημιτη κωνσταντινου(22/01/1996-25/09/1996)']"
ασημακοπουλος σπυρου γεωργιος,1989-06-18,1989-10-12,πανελληνιο σοσιαλιστικο κινημα,επικρατειας,male,[],"['τζαννετακη τζαννη(02/07/1989-12/10/1989)', 'γριβα ιωαννη(12/10/1989-23/11/1989)']"
παπαστρατης θρασυβουλου ορεστης,1989-06-18,1989-10-12,πανελληνιο σοσιαλιστικο κινημα,ευβοιας,male,[],"['τζαννετακη τζαννη(02/07/1989-12/10/1989)', 'γριβα ιωαννη(12/10/1989-23/11/1989)']"
παπαστρατης θρασυβουλου ορεστης,1989-11-05,1990-03-12,πανελληνιο σοσιαλιστικο κινημα,ευβοιας,male,[],"['γριβα ιωαννη(12/10/1989-23/11/1989)', 'ζολωτα ξενοφωντα(23/11/1989-11/04/1990)']"
παπαστρατης θρασυβουλου ορεστης,1990-04-08,1993-09-11,πανελληνιο σοσιαλιστικο κινημα,ευβοιας,male,[],"['ζολωτα ξενοφωντα(23/11/1989-11/04/1990)', 'μητσοτακη κωνσταντινου(11/04/1990-13/10/1993)']"
παπαστρατης θρασυβουλου ορεστης,1993-10-10,1996-08-24,πανελληνιο σοσιαλιστικο κινημα,ευβοιας,male,[],"['μητσοτακη κωνσταντινου(11/04/1990-13/10/1993)', 'παπανδρεου ανδρεα(13/10/1993-22/01/1996)', 'σημιτη κωνσταντινου(22/01/1996-25/09/1996)']"
παπαφιλιππου αντωνιου γεωργιος,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,καβαλας,male,[],"['θανου-χριστοφιλου βασιλικης (υπηρεσιακη)(27/08/2015-21/09/2015)', 'τσιπρα π. αλεξιου(21/09/2015-08/07/2019)']"
παπαφιλιππου παντελη νικολαος,1989-06-18,1989-10-12,νεα δημοκρατια,κοζανης,male,[],"['τζαννετακη τζαννη(02/07/1989-12/10/1989)', 'γριβα ιωαννη(12/10/1989-23/11/1989)']"
