member_name,member_start_date,member_end_date,political_party,administrative_region,gender
μιμμης γεωργιου αριστοτελης,1989-11-05,1990-03-12,νεα δημοκρατια,αιτωλοακαρνανιας,male
μιμμης γεωργιου αριστοτελης,1990-04-08,1993-09-11,νεα δημοκρατια,αιτωλοακαρνανιας,male
μισαηλιδης σταματιου γεωργιος,1989-01-01,1989-06-02,νεα δημοκρατια,χιου,male
μισαηλιδης σταματιου γεωργιος,1989-06-18,1989-10-12,νεα δημοκρατια,χιου,male
μισαηλιδης σταματιου γεωργιος,1989-11-05,1990-03-12,νεα δημοκρατια,χιου,male
μισαηλιδης σταματιου γεωργιος,1990-04-08,1993-09-11,νεα δημοκρατια,χιου,male
μιχαηλιδης φραγκουλη ανδρεας,2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,χιου,male
μιχαηλιδης φραγκουλη ανδρεας,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,χιου,male
μιχαηλιδης φραγκουλη ανδρεας,2019-07-07,2020-07-25,συνασπισμος ριζοσπαστικης αριστερας,χιου,male
μιχαλακης ηλια νικολαος,2012-05-06,2012-05-19,συνασπισμος ριζοσπαστικης αριστερας,καρδιτσας,male
μιχαλακης ηλια νικολαος,2012-06-17,2014-12-31,συνασπισμος ριζοσπαστικης αριστερας,καρδιτσας,male
μιχαλακης ηλια νικολαος,2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,καρδιτσας,male
μιχαλολιακος γεωργιου νικολαος,2012-05-06,2012-05-19,λαικος συνδεσμος - χρυση αυγη,α' αθηνων,male
μιχαλολιακος γεωργιου νικολαος,2012-06-17,2014-12-31,λαικος συνδεσμος - χρυση αυγη,α' αθηνων,male
μιχαλολιακος γεωργιου νικολαος,2015-01-25,2015-08-28,λαικος συνδεσμος - χρυση αυγη,α' αθηνων,male
μιχαλολιακος γεωργιου νικολαος,2015-09-20,2019-06-11,λαικος συνδεσμος - χρυση αυγη,α' αθηνων,male
μιχαλολιακος ιωαννη βασιλειος,1990-04-08,1993-09-11,νεα δημοκρατια,α' πειραιως,male
μιχαλολιακος ιωαννη βασιλειος,1993-10-10,1996-08-24,νεα δημοκρατια,α' πειραιως,male
μιχαλολιακος ιωαννη βασιλειος,1996-09-22,2000-03-14,νεα δημοκρατια,α' πειραιως,male
μιχαλολιακος ιωαννη βασιλειος,2000-04-09,2004-02-11,νεα δημοκρατια,α' πειραιως,male
μιχαλολιακος ιωαννη βασιλειος,2004-03-07,2007-08-18,νεα δημοκρατια,α' πειραιως,male
μιχαλολιακος ιωαννη βασιλειος,2007-09-16,2009-09-07,νεα δημοκρατια,α' πειραιως,male
μιχαλολιακος ιωαννη βασιλειος,2009-10-04,2010-10-06,νεα δημοκρατια,α' πειραιως,male
μιχελακης σπυριδωνος ιωαννης,2012-05-06,2012-05-19,νεα δημοκρατια,επικρατειας,male
μιχελακης σπυριδωνος ιωαννης,2012-06-17,2014-12-31,νεα δημοκρατια,επικρατειας,male
μιχελης ιωαννη αθανασιος,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,φθιωτιδας,male
αντωνοπουλου αντωνιου ουρανια,2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,επικρατειας,female
μιχελογιαννακης δημητριου ιωαννης,2012-03-26,2012-04-11,δημοκρατικη αριστερα,ηρακλειου,male
μιχελογιαννακης δημητριου ιωαννης,2012-02-12,2012-03-25,ανεξαρτητοι (εκτος κομματος),ηρακλειου,male
μιχελογιαννακης δημητριου ιωαννης,2011-01-10,2012-02-11,πανελληνιο σοσιαλιστικο κινημα,ηρακλειου,male
μιχελογιαννακης δημητριου ιωαννης,2012-05-06,2012-05-19,δημοκρατικη αριστερα,ηρακλειου,male
μιχελογιαννακης δημητριου ιωαννης,2013-06-24,2014-12-31,συνασπισμος ριζοσπαστικης αριστερας,ηρακλειου,male
μιχελογιαννακης δημητριου ιωαννης,2012-10-22,2013-06-23,ανεξαρτητοι (εκτος κομματος),ηρακλειου,male
μιχελογιαννακης δημητριου ιωαννης,2012-06-17,2012-10-21,δημοκρατικη αριστερα,ηρακλειου,male
μιχελογιαννακης δημητριου ιωαννης,2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,ηρακλειου,male
μιχελογιαννακης δημητριου ιωαννης,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,ηρακλειου,male
μιχελογιαννης δημητριου ιωσηφ,1989-01-01,1989-06-02,πανελληνιο σοσιαλιστικο κινημα,χανιων,male
μιχελογιαννης δημητριου ιωσηφ,1993-10-10,1996-08-24,πανελληνιο σοσιαλιστικο κινημα,χανιων,male
μιχελογιαννης δημητριου ιωσηφ,1996-09-22,2000-03-14,πανελληνιο σοσιαλιστικο κινημα,χανιων,male
μιχος αντωνιου νικολαος,2012-05-06,2012-05-19,λαικος συνδεσμος - χρυση αυγη,ευβοιας,male
μιχος αντωνιου νικολαος,2012-06-17,2014-12-31,λαικος συνδεσμος - χρυση αυγη,ευβοιας,male
μιχος αντωνιου νικολαος,2015-01-25,2015-08-28,λαικος συνδεσμος - χρυση αυγη,ευβοιας,male
μιχος αντωνιου νικολαος,2017-09-26,2019-06-11,ανεξαρτητοι (εκτος κομματος),ευβοιας,male
μιχος αντωνιου νικολαος,2015-09-20,2017-09-25,λαικος συνδεσμος - χρυση αυγη,ευβοιας,male
μιχος σπυριδωνος λαμπρος,2012-02-12,2012-04-11,ανεξαρτητοι (εκτος κομματος),β' αθηνων,male
μιχος σπυριδωνος λαμπρος,2010-02-09,2012-02-11,πανελληνιο σοσιαλιστικο κινημα,β' αθηνων,male
μιχου κωνσταντινου μαρια,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,πιεριας,female
μολλα χουσειν ισμαηλ,1989-11-05,1990-03-12,ανεξαρτητοι (εκτος κομματος),ροδοπης,male
μολυβιατης γεωργιου πετρος,1996-09-22,2000-03-14,νεα δημοκρατια,επικρατειας,male
μολυβιατης γεωργιου πετρος,2000-04-09,2004-02-11,νεα δημοκρατια,επικρατειας,male
μονογυιου μιχαηλ αικατερινη,2019-07-07,2020-07-25,νεα δημοκρατια,κυκλαδων,female
μορφιδης ανεστη κωνσταντινος,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,καβαλας,male
ανωμεριτης δημητριου γεωργιος,1993-10-10,1996-08-24,πανελληνιο σοσιαλιστικο κινημα,β' αθηνων,male
ανωμεριτης δημητριου γεωργιος,1996-09-22,2000-03-14,πανελληνιο σοσιαλιστικο κινημα,β' αθηνων,male
ανωμεριτης δημητριου γεωργιος,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,β' αθηνων,male
ανωμεριτης δημητριου γεωργιος,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,β' αθηνων,male
μοσιαλος αρχοντη ηλιας,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,επικρατειας,male
μοσχοπουλος αγαθαγγελου σπυριδωνας,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,κεφαλληνιας,male
μουζαλας ευστρατιου ιωαννης,2019-07-07,2020-07-25,συνασπισμος ριζοσπαστικης αριστερας,β3' νοτιου τομεα αθηνων,male
μουλκιωτης βασιλειου γεωργιος,2019-07-07,2020-07-25,κινημα αλλαγης,βοιωτιας,male
μουλοπουλος διονυσιου βασιλειος,2009-10-04,2012-04-11,συνασπισμος ριζοσπαστικης αριστερας,επικρατειας,male
μουμουλιδης σταματιου θεμιστοκλης,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,κοζανης,male
μουσιωνης ιωαννη αριστειδης,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,σερρων,male
μουσουρουλης δημητριου κωνσταντινος,2009-10-04,2012-04-11,νεα δημοκρατια,χιου,male
μουσουρουλης δημητριου κωνσταντινος,2012-05-06,2012-05-19,νεα δημοκρατια,χιου,male
μουσουρουλης δημητριου κωνσταντινος,2012-06-17,2014-05-02,νεα δημοκρατια,χιου,male
μουσταφα μεμετ μουσταφα,1996-09-22,2000-03-14,συνασπισμος της αριστερας των κινηματων και της οικολογιας,ροδοπης,male
μουσταφα μεμετ μουσταφα,2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,ροδοπης,male
μουσταφα μεμετ μουσταφα,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,ροδοπης,male
μουτζουριδης ιωαννη γεωργιος,1989-01-01,1989-06-02,νεα δημοκρατια,αργολιδος,male
μουτζουριδης ιωαννη γεωργιος,1989-11-05,1990-03-12,νεα δημοκρατια,αργολιδος,male
απατζιδη κυριλλου μαρια,2019-07-07,2020-07-25,μετωπο ευρωπαικης ρεαλιστικης ανυπακοης (μερα25),α' ανατολικης αττικης,female
μουτσινας ιωαννη παρισης (παρις),2012-05-06,2012-05-19,δημοκρατικη αριστερα,μαγνησιας,male
