member_name,role,role_start_date,role_end_date,gender
γεωργιος κατσιφαρας,υπουργος εμπορικης ναυτιλιας,13/10/1993,22/01/1996,male
γεωργιος κοντογεωργης,υπουργος τουρισμου,12/10/1989,23/11/1989,male
γεωργιος κοντογεωργης,υπουργος εθνικης οικονομιας,12/10/1989,23/11/1989,male
γεωργιος κοντογεωργης,υπουργος τουρισμου,13/02/1990,11/04/1990,male
γεωργιος κοντογεωργης,υπουργος εθνικης οικονομιας,13/02/1990,11/04/1990,male
γεωργιος κοντογιαννης,υφυπουργος απασχολησης και κοινωνικης προστασιας,08/01/2009,07/10/2009,male
γεωργιος κοντογιωργης,υφυπουργος προεδριας της κυβερνησης,14/09/1993,13/10/1993,male
γεωργιος κουβελακης,υπουργος δικαιοσυνης,13/10/1993,10/02/1995,male
γεωργιος κουμαντος,υπουργος εσωτερικων δημοσιας διοικησης και αποκεντρωσης,20/03/2000,13/04/2000,male
γεωργιος κουμουτσακος,αναπληρωτης υπουργος μεταναστευσης και ασυλου,15/01/2020,27/07/2020,male
γεωργιος κουμουτσακος,αναπληρωτης υπουργος προστασιας του πολιτη,09/07/2019,15/01/2020,male
γεωργιος κουτρουμανης,αναπληρωτης υπουργος εργασιας και κοινωνικης ασφαλισης,07/09/2010,17/06/2011,male
γεωργιος κουτρουμανης,υπουργος εργασιας και κοινωνικης ασφαλισης,17/06/2011,11/11/2011,male
γεωργιος κουτρουμανης,υφυπουργος εργασιας και κοινωνικης ασφαλισης,07/10/2009,07/09/2010,male
γεωργιος κουτρουμανης,υπουργος εργασιας και κοινωνικης ασφαλισης,11/11/2011,17/05/2012,male
γεωργιος κωνσταντοπουλος,υφυπουργος υγειας και κοινωνικης αλληλεγγυης,10/03/2004,19/09/2007,male
γεωργιος κωνσταντοπουλος,υφυπουργος υγειας και κοινωνικης αλληλεγγυης,19/09/2007,07/01/2009,male
γεωργιος λιανης,υφυπουργος πολιτισμου,13/10/1993,22/01/1996,male
γεωργιος λιανης,υφυπουργος πολιτισμου,30/08/2002,10/03/2004,male
γεωργιος μαυραγανης,υφυπουργος οικονομικων,22/06/2012,27/01/2015,male
γεωργιος μερικας,υπουργος υγειας προνοιας και κοινωνικων ασφαλισεων,12/10/1989,23/11/1989,male
γεωργιος μερικας,υπουργος υγειας προνοιας και κοινωνικων ασφαλισεων,23/11/1989,11/04/1990,male
γεωργιος μισαηλιδης,υφυπουργος αιγαιου,28/08/1991,13/10/1993,male
γεωργιος μισαηλιδης,υπουργος αιγαιου,11/04/1990,08/08/1991,male
γεωργιος μπαμπινιωτης,υπουργος παιδειας δια βιου μαθησης και θρησκευματων,07/03/2012,17/05/2012,male
γεωργιος μυλωνας,υπουργος πολιτισμου,07/07/1989,12/10/1989,male
γεωργιος μυλωνας,υπουργος πολιτισμου,12/10/1989,23/11/1989,male
γεωργιος μυλωνας,υπουργος πολιτισμου,13/02/1990,11/04/1990,male
γεωργιος μωραιτης,υπουργος γεωργιας,13/10/1993,15/09/1995,male
γεωργιος μωραιτης,υφυπουργος εσωτερικων δημοσιας διοικησης και αποκεντρωσης,22/01/1996,25/09/1996,male
γεωργιος νικητιαδης,υφυπουργος πολιτισμου και τουρισμου,21/05/2010,11/11/2011,male
γεωργιος νικητιαδης,υφυπουργος πολιτισμου και τουρισμου,11/11/2011,17/05/2012,male
γεωργιος νουτσοπουλος,υπουργος μεταφορων και επικοινωνιων,12/10/1989,23/11/1989,male
γεωργιος νουτσοπουλος,υπουργος μεταφορων και επικοινωνιων,13/02/1990,11/04/1990,male
γεωργιος ντολιος,υφυπουργος εσωτερικων αποκεντρωσης και ηλεκτρονικης διακυβερνησης,11/01/2010,27/06/2011,male
γεωργιος ντολιος,υφυπουργος εσωτερικων,10/06/2014,27/01/2015,male
γεωργιος ορφανος,υφυπουργος πολιτισμου,10/03/2004,19/09/2007,male
γεωργιος ορφανος,υπουργος μακεδονιας-θρακης,10/06/2014,27/01/2015,male
γεωργιος παπαγεωργιου,υφυπουργος υγειας και κοινωνικης αλληλεγγυης,19/09/2007,07/10/2009,male
γεωργιος παπακωνσταντινου,υπουργος οικονομικων,07/10/2009,17/06/2011,male
γεωργιος παπακωνσταντινου,υπουργος περιβαλλοντος ενεργειας και κλιματικης αλλαγης,17/06/2011,11/11/2011,male
γεωργιος παπακωνσταντινου,υπουργος περιβαλλοντος ενεργειας και κλιματικης αλλαγης,11/11/2011,17/05/2012,male
γεωργιος παπανδρεου,υφυπουργος εξωτερικων,13/10/1993,08/07/1994,male
γεωργιος παπανδρεου,υπουργος εθνικης παιδειας και θρησκευματων,08/07/1994,22/01/1996,male
γεωργιος παπανδρεου,υπουργος εθνικης παιδειας και θρησκευματων,22/01/1996,25/09/1996,male
γεωργιος παπανδρεου,αναπληρωτης υπουργος εξωτερικων,25/09/1996,19/02/1999,male
γεωργιος παπανδρεου,υπουργος εξωτερικων,19/02/1999,13/04/2000,male
γεωργιος παπανδρεου,υπουργος εξωτερικων,13/04/2000,13/02/2004,male
γεωργιος παπανδρεου,υπουργος εξωτερικων,07/10/2009,07/09/2010,male
γεωργιος παπανδρεου,πρωθυπουργος,06/10/2009,11/11/2011,male
γεωργιος παπασταμκος,υφυπουργος εξωτερικων,28/12/1990,13/10/1993,male
γεωργιος παπασταμκος,υφυπουργος εθνικης οικονομιας,11/04/1990,28/12/1990,male
γεωργιος παπουλιας,αναπληρωτης υπουργος εξωτερικων,02/07/1989,12/10/1989,male
γεωργιος παπουλιας,υπουργος εξωτερικων,12/10/1989,23/11/1989,male
γεωργιος παπουλιας,υπουργος εξωτερικων,16/02/1990,11/04/1990,male
γεωργιος παπουλιας,αναπληρωτης υπουργος εξωτερικων,01/10/1990,28/12/1990,male
γεωργιος πασχαλιδης,υφυπουργος εθνικης παιδειας και θρησκευματων,22/01/1996,25/09/1996,male
γεωργιος πασχαλιδης,υφυπουργος στον πρωθυπουργο,25/09/1996,13/04/2000,male
γεωργιος πασχαλιδης,υπουργος εμπορικης ναυτιλιας,07/07/2003,10/03/2004,male
γεωργιος πασχαλιδης,υπουργος μακεδονιας-θρακης,13/04/2000,07/07/2003,male
γεωργιος πεταλωτης,υφυπουργος εσωτερικων αποκεντρωσης και ηλεκτρονικης διακυβερνησης,30/09/2010,17/06/2011,male
γεωργιος πεταλωτης,υφυπουργος δικαιοσυνης διαφανειας και ανθρωπινων δικαιωματων,17/06/2011,11/11/2011,male
γεωργιος πεταλωτης,υφυπουργος στον πρωθυπουργο,07/10/2009,30/09/2010,male
γεωργιος πεταλωτης,υφυπουργος δικαιοσυνης διαφανειας και ανθρωπινων δικαιωματων,11/11/2011,17/05/2012,male
γεωργιος πλαγιανακος,υπουργος δικαιοσυνης,14/09/1993,13/10/1993,male
γεωργιος ρωμαιος,αναπληρωτης υπουργος εξωτερικων,15/09/1995,22/01/1996,male
γεωργιος ρωμαιος,αναπληρωτης υπουργος εθνικης οικονομιας,06/05/1994,15/09/1995,male
γεωργιος ρωμαιος,υφυπουργος εθνικης οικονομιας,13/10/1993,06/05/1994,male
γεωργιος ρωμαιος,αναπληρωτης υπουργος εξωτερικων,22/01/1996,25/09/1996,male
γεωργιος ρωμαιος,υπουργος δημοσιας ταξης,25/09/1996,30/10/1998,male
γεωργιος ρωμαιος,υπουργος τυπου και μεσων μαζικης ενημερωσης,13/02/2004,10/03/2004,male
γεωργιος σαλαγκουδης,υφυπουργος αναπτυξης,10/03/2004,15/02/2006,male
γεωργιος σουρλας,υπουργος υγειας προνοιας και κοινωνικων ασφαλισεων,08/08/1991,03/12/1992,male
γεωργιος σουρλας,αναπληρωτης υπουργος υγειας προνοιας και κοινωνικων ασφαλισεων,11/04/1990,08/08/1991,male
γεωργιος σουφλιας,υπουργος εθνικης οικονομιας,02/07/1989,12/10/1989,male
γεωργιος σουφλιας,υπουργος οικονομικων,23/11/1989,13/02/1990,male
γεωργιος σουφλιας,υπουργος τουρισμου,11/04/1990,24/05/1990,male
γεωργιος σουφλιας,υπουργος εθνικης παιδειας και θρησκευματων,10/01/1991,13/10/1993,male
γεωργιος σουφλιας,υπουργος εθνικης οικονομιας,11/04/1990,01/10/1990,male
γεωργιος σουφλιας,υπουργος περιβαλλοντος χωροταξιας και δημοσιων εργων,10/03/2004,19/09/2007,male
γεωργιος σουφλιας,υπουργος περιβαλλοντος χωροταξιας και δημοσιων εργων,19/09/2007,07/10/2009,male
γεωργιος σταθακης,υπουργος οικονομιας υποδομων ναυτιλιας και τουρισμου,27/01/2015,27/08/2015,male
γεωργιος σταθακης,υπουργος περιβαλλοντος και ενεργειας,05/11/2016,09/07/2019,male
γεωργιος σταθακης,υπουργος οικονομιας αναπτυξης και τουρισμου,23/09/2015,05/11/2016,male
γεωργιος σταυροπουλος,υπουργος επικρατειας,11/11/2011,17/05/2012,male
γεωργιος στυλιος,υφυπουργος παιδειας και θρησκευματων,03/09/2014,12/11/2014,male
γεωργιος τζιτζικωστας,υπουργος μακεδονιας-θρακης,11/04/1990,08/08/1991,male
γεωργιος φλωριδης,υφυπουργος εσωτερικων δημοσιας διοικησης και αποκεντρωσης,30/10/1998,13/04/2000,male
γεωργιος φλωριδης,υπουργος δημοσιας ταξης,07/07/2003,10/03/2004,male
γεωργιος φλωριδης,υφυπουργος οικονομικων,24/10/2001,07/07/2003,male
γεωργιος φλωριδης,υφυπουργος πολιτισμου,13/04/2000,24/10/2001,male
γεωργιος χουλιαρακης,υπουργος οικονομικων,28/08/2015,21/09/2015,male
γεωργιος χουλιαρακης,αναπληρωτης υπουργος οικονομικων,23/09/2015,09/07/2019,male
γεωργιος-αλεξανδρος μαγκακης,αναπληρωτης υπουργος εξωτερικων,20/01/1995,15/09/1995,male
γιανης βαρουφακης,υπουργος οικονομικων,27/01/2015,06/07/2015,male
γιαννος κρανιδιωτης,υφυπουργος εξωτερικων,08/07/1994,20/01/1995,male
γιαννος κρανιδιωτης,αναπληρωτης υπουργος εξωτερικων,19/02/1999,14/09/1999,male
γιαννος κρανιδιωτης,υφυπουργος εξωτερικων,03/02/1997,19/02/1999,male
γιαννος παπαντωνιου,αναπληρωτης υπουργος εθνικης οικονομιας,13/10/1993,06/05/1994,male
γιαννος παπαντωνιου,υπουργος εθνικης οικονομιας,06/05/1994,22/01/1996,male
γιαννος παπαντωνιου,υπουργος εθνικης οικονομιας,22/01/1996,25/09/1996,male
γιαννος παπαντωνιου,υπουργος οικονομικων,25/09/1996,13/04/2000,male
γιαννος παπαντωνιου,υπουργος εθνικης οικονομιας,25/09/1996,13/04/2000,male
γιαννος παπαντωνιου,υπουργος εθνικης αμυνας,24/10/2001,10/03/2004,male
γιαννος παπαντωνιου,υπουργος εθνικης οικονομιας και οικονομικων,13/04/2000,24/10/2001,male
γκικας χαρδουβελης,υπουργος οικονομικων,10/06/2014,27/01/2015,male
γρηγοριος γιανναρος,αναπληρωτης υπουργος βιομηχανιας ενεργειας και τεχνολογιας,23/11/1989,13/02/1990,male
γρηγοριος ζαριφοπουλος,υφυπουργος ψηφιακης διακυβερνησης,09/07/2019,27/07/2020,male
γρηγοριος νιωτης,υφυπουργος εξωτερικων,08/07/1994,22/01/1996,male
γρηγοριος νιωτης,υφυπουργος εξωτερικων,19/02/1999,13/04/2000,male
γρηγοριος νιωτης,υφυπουργος εξωτερικων,20/11/2000,24/10/2001,male
γρηγοριος τσαλτας,υπουργος περιβαλλοντος ενεργειας και κλιματικης αλλαγης,17/05/2012,21/06/2012,male
δημητριος αβραμοπουλος,υπουργος υγειας και κοινωνικης αλληλεγγυης,15/02/2006,19/09/2007,male
δημητριος αβραμοπουλος,υπουργος τουρισμου,18/03/2004,15/02/2006,male
δημητριος αβραμοπουλος,υπουργος υγειας και κοινωνικης αλληλεγγυης,19/09/2007,07/10/2009,male
δημητριος αβραμοπουλος,υπουργος εθνικης αμυνας,11/11/2011,17/05/2012,male
δημητριος αβραμοπουλος,υπουργος εθνικης αμυνας,25/06/2013,03/11/2014,male
δημητριος αβραμοπουλος,υπουργος εξωτερικων,21/06/2012,25/06/2013,male
δημητριος αλαμπανος,υφυπουργος μεταφορων και επικοινωνιων,08/07/1994,15/09/1995,male
δημητριος αποστολακης,υφυπουργος εθνικης αμυνας,25/09/1996,13/04/2000,male
δημητριος αποστολακης,υφυπουργος εθνικης αμυνας,13/04/2000,24/10/2001,male
δημητριος βαρτζοπουλος,υφυπουργος υγειας και κοινωνικης αλληλεγγυης,11/11/2011,17/05/2012,male
δημητριος βιτσας,αναπληρωτης υπουργος εθνικης αμυνας,18/07/2015,27/08/2015,male
δημητριος βιτσας,αναπληρωτης υπουργος εθνικης αμυνας,23/09/2015,28/02/2018,male
δημητριος βιτσας,υπουργος μεταναστευτικης πολιτικης,28/02/2018,09/07/2019,male
δημητριος γεωργακοπουλος,υφυπουργος οικονομικων,13/10/1993,22/01/1996,male
δημητριος γεωργακοπουλος,υφυπουργος αναπτυξης,24/10/2001,10/03/2004,male
δημητριος γουργουρακης,υπουργος δικαιοσυνης,20/03/2000,13/04/2000,male
δημητριος δολλης,υφυπουργος εξωτερικων,07/09/2010,11/11/2011,male
δημητριος δολλης,υφυπουργος εξωτερικων,11/11/2011,17/05/2012,male
δημητριος δρουτσας,αναπληρωτης υπουργος εξωτερικων,07/10/2009,07/09/2010,male
δημητριος δρουτσας,υπουργος εξωτερικων,07/09/2010,17/06/2011,male
δημητριος ελευσινιωτης,υφυπουργος εθνικης αμυνας,21/06/2012,25/06/2013,male
δημητριος θανος,υφυπουργος υγειας και προνοιας,13/04/2000,07/07/2003,male
δημητριος καμμενος,υφυπουργος υποδομων μεταφορων και δικτυων,23/09/2015,24/09/2015,male
δημητριος κουρκουλας,υφυπουργος εξωτερικων,22/06/2012,27/01/2015,male
δημητριος κουσελας,υφυπουργος οικονομικων,07/09/2010,17/06/2011,male
δημητριος κρανης,υφυπουργος δικαιοσυνης,09/07/2019,27/07/2020,male
δημητριος κρεμαστινος,υπουργος υγειας και προνοιας,15/09/1995,22/01/1996,male
δημητριος κρεμαστινος,υπουργος υγειας προνοιας και κοινωνικων ασφαλισεων,13/10/1993,15/09/1995,male
δημητριος κωνστας,υπουργος τυπου και μεσων μαζικης ενημερωσης,30/08/1996,25/09/1996,male
δημητριος λιακος,υφυπουργος στον πρωθυπουργο,05/11/2016,09/07/2019,male
δημητριος μανικας,υπουργος δημοσιας ταξης,12/10/1989,23/11/1989,male
δημητριος μανικας,υπουργος δημοσιας ταξης,23/11/1989,11/04/1990,male
δημητριος μανικας,υπουργος δημοσιας ταξης,14/09/1993,13/10/1993,male
δημητριος μαρδας,αναπληρωτης υπουργος οικονομικων,27/01/2015,27/08/2015,male
δημητριος μαρδας,υφυπουργος εξωτερικων,24/09/2015,05/11/2016,male
δημητριος μελας,αναπληρωτης υπουργος παραγωγικης ανασυγκροτησης περιβαλλοντος και ενεργειας,28/08/2015,21/09/2015,male
δημητριος μουστακας,υπουργος εργασιας κοινωνικης ασφαλισης και κοινωνικης αλληλεγγυης,28/08/2015,21/09/2015,male
δημητριος μπαξεβανακης,υφυπουργος παιδειας ερευνας και θρησκευματων,05/11/2016,29/08/2018,male
δημητριος οικονομου,υφυπουργος περιβαλλοντος και ενεργειας,09/07/2019,27/07/2020,male
δημητριος παπαγγελοπουλος,υφυπουργος δικαιοσυνης διαφανειας και ανθρωπινων δικαιωματων,21/03/2015,27/08/2015,male
δημητριος παπαγγελοπουλος,υπουργος δικαιοσυνης διαφανειας και ανθρωπινων δικαιωματων,28/08/2015,21/09/2015,male
δημητριος παπαγγελοπουλος,αναπληρωτης υπουργος δικαιοσυνης διαφανειας και ανθρωπινων δικαιωματων,23/09/2015,09/07/2019,male
δημητριος ρεππας,υπουργος τυπου και μεσων μαζικης ενημερωσης,22/01/1996,30/08/1996,male
δημητριος ρεππας,υπουργος τυπου και μεσων μαζικης ενημερωσης,25/09/1996,20/03/2000,male
δημητριος ρεππας,υπουργος εργασιας και κοινωνικων ασφαλισεων,24/10/2001,10/03/2004,male
δημητριος ρεππας,υπουργος τυπου και μεσων μαζικης ενημερωσης,13/04/2000,24/10/2001,male
δημητριος ρεππας,υπουργος διοικητικης μεταρρυθμισης και ηλεκτρονικης διακυβερνησης,27/06/2011,11/11/2011,male
δημητριος ρεππας,υπουργος υποδομων μεταφορων και δικτυων,07/10/2009,17/06/2011,male
δημητριος ρεππας,υπουργος διοικητικης μεταρρυθμισης και ηλεκτρονικης διακυβερνησης,11/11/2011,17/05/2012,male
δημητριος σαρρης,υφυπουργος μεταφορων και επικοινωνιων,15/09/1995,22/01/1996,male
δημητριος σιουφας,υπουργος υγειας προνοιας και κοινωνικων ασφαλισεων,03/12/1992,13/10/1993,male
δημητριος σιουφας,υφυπουργος υγειας προνοιας και κοινωνικων ασφαλισεων,08/08/1991,03/12/1992,male
δημητριος σιουφας,υπουργος αναπτυξης,10/03/2004,19/09/2007,male
δημητριος σταματης,υπουργος επικρατειας,21/06/2012,27/01/2015,male
δημητριος στρατουλης,αναπληρωτης υπουργος εργασιας κοινωνικης ασφαλισης,21/03/2015,18/07/2015,male
δημητριος στρατουλης,αναπληρωτης υπουργος υγειας και κοινωνικων ασφαλισεων,27/01/2015,21/03/2015,male
δημητριος σωτηρλης,υφυπουργος γεωργιας,25/09/1996,30/10/1998,male
δημητριος τζανακοπουλος,υπουργος επικρατειας,05/11/2016,09/07/2019,male
δημητριος φατουρος,υπουργος εθνικης παιδειας και θρησκευματων,13/10/1993,08/07/1994,male
δημος παπαδημητριου,υπουργος οικονομιας και αναπτυξης,05/11/2016,27/02/2018,male
διονυσιος λιβανος,υπουργος τουρισμου,22/11/1993,23/06/1995,male
δομνα-μαρια μιχαηλιδου,υφυπουργος εργασιας και κοινωνικων υποθεσεων,09/07/2019,27/07/2020,female
εκτορας νασιωκας,υφυπουργος υγειας και προνοιας,24/10/2001,10/03/2004,male
ελενα κουντουρα,αναπληρωτης υπουργος οικονομιας υποδομων ναυτιλιας και τουρισμου,27/01/2015,27/08/2015,female
ελενα κουντουρα,αναπληρωτης υπουργος οικονομιας αναπτυξης και τουρισμου,23/09/2015,05/11/2016,female
ελενα κουντουρα,υπουργος τουρισμου,05/11/2016,04/05/2019,female
ελενη κουρκουλα,υφυπουργος εθνικης παιδειας και θρησκευματων,24/10/2001,07/07/2003,female
ελενη στεφανου,υφυπουργος εθνικης παιδειας και θρησκευματων,13/10/1993,15/09/1995,female
ελενη-μαρια αποστολακη,υφυπουργος αναπτυξης,13/04/2000,24/10/2001,female
ελενη-μαρια αποστολακη,υφυπουργος αγροτικης αναπτυξης και τροφιμων,07/09/2010,17/06/2011,female
ελευθερια χατζηγεωργιου,υφυπουργος εσωτερικων,15/02/2019,09/07/2019,female
ελευθεριος αυγενακης,υφυπουργος πολιτισμου και αθλητισμου,09/07/2019,27/07/2020,male
ελευθεριος κρετσος,υφυπουργος ψηφιακης πολιτικης τηλεπικοινωνιων και ενημερωσης,29/08/2018,09/07/2019,male
ελευθεριος οικονομου,υφυπουργος προστασιας του πολιτη,07/03/2012,17/05/2012,male
ελευθεριος οικονομου,υπουργος προστασιας του πολιτη,17/05/2012,21/06/2012,male
ελευθεριος οικονομου,υφυπουργος προστασιας του πολιτη,09/07/2019,27/07/2020,male
ελευθεριος παπαγεωργοπουλος,υπουργος επικρατειας,28/08/2015,21/09/2015,male
ελευθεριος τζιολας,υφυπουργος εργασιας και κοινωνικων ασφαλισεων,24/10/2001,10/03/2004,male
ελισαβετ παπαζωη,υφυπουργος περιβαλλοντος χωροταξιας και δημοσιων εργων,13/10/1993,22/01/1996,female
ελισαβετ παπαζωη,υφυπουργος περιβαλλοντος χωροταξιας και δημοσιων εργων,22/01/1996,25/09/1996,female
ελισαβετ παπαζωη,υπουργος πολιτισμου,19/02/1999,13/04/2000,female
ελισαβετ παπαζωη,υπουργος αιγαιου,25/09/1996,19/02/1999,female
ελισαβετ παπαζωη,αναπληρωτης υπουργος εξωτερικων,13/04/2000,24/10/2001,female
ελπιδα τσουρη,υφυπουργος υγειας και προνοιας,24/10/2001,10/03/2004,female
ελπιδα τσουρη,υφυπουργος θαλασσιων υποθεσεων νησων και αλιειας,30/09/2010,27/06/2011,female
εμμανουηλ κεφαλογιαννης,υπουργος χωρις χαρτοφυλακιο,02/07/1989,12/10/1989,male
εμμανουηλ κεφαλογιαννης,υπουργος αιγαιου,02/07/1989,12/10/1989,male
εμμανουηλ κεφαλογιαννης,υπουργος εμπορικης ναυτιλιας,10/03/2004,19/09/2007,male
εμμανουηλ κονσολας,υφυπουργος τουρισμου,09/07/2019,27/07/2020,male
εμμανουηλ λουκακης,υφυπουργος περιβαλλοντος χωροταξιας και δημοσιων εργων,22/01/1996,25/09/1996,male
εμμανουηλ λουκακης,υφυπουργος μεταφορων και επικοινωνιων,25/09/1996,30/10/1998,male
εμμανουηλ μπεντενιωτης,υφυπουργος εθνικης αμυνας,22/11/1993,22/01/1996,male
εμμανουηλ μπεντενιωτης,υφυπουργος εθνικης οικονομιας,22/01/1996,25/09/1996,male
εμμανουηλ οθωνας,υφυπουργος προστασιας του πολιτη,07/09/2010,11/11/2011,male
εμμανουηλ οθωνας,υφυπουργος προστασιας του πολιτη,11/11/2011,17/05/2012,male
εμμανουηλ σκουλακης,υφυπουργος υγειας και προνοιας,15/09/1995,22/01/1996,male
εμμανουηλ σκουλακης,υφυπουργος υγειας προνοιας και κοινωνικων ασφαλισεων,13/10/1993,15/09/1995,male
εμμανουηλ σκουλακης,υφυπουργος υγειας και προνοιας,25/09/1996,30/10/1998,male
εμμανουηλ στρατακης,υφυπουργος μεταφορων και επικοινωνιων,30/08/2002,10/03/2004,male
ευαγγελος αποστολακης,υπουργος εθνικης αμυνας,14/01/2019,09/07/2019,male
ευαγγελος αποστολου,αναπληρωτης υπουργος παραγωγικης ανασυγκροτησης περιβαλλοντος και ενεργειας,27/01/2015,27/08/2015,male
ευαγγελος αποστολου,υπουργος αγροτικης αναπτυξης και τροφιμων,23/09/2015,29/08/2018,male
ευαγγελος αργυρης,υφυπουργος γεωργιας,13/04/2000,10/03/2004,male
ευαγγελος βενιζελος,υπουργος μεταφορων και επικοινωνιων,15/09/1995,22/01/1996,male
ευαγγελος βενιζελος,υφυπουργος προεδριας της κυβερνησης,13/10/1993,08/07/1994,male
ευαγγελος βενιζελος,υπουργος τυπου και μεσων μαζικης ενημερωσης,08/07/1994,15/09/1995,male
ευαγγελος βενιζελος,υπουργος δικαιοσυνης,22/01/1996,30/08/1996,male
ευαγγελος βενιζελος,υπουργος αναπτυξης,19/02/1999,13/04/2000,male
ευαγγελος βενιζελος,υπουργος πολιτισμου,25/09/1996,19/02/1999,male
ευαγγελος βενιζελος,υπουργος πολιτισμου,20/11/2000,10/03/2004,male
ευαγγελος βενιζελος,υπουργος εθνικης αμυνας,07/10/2009,17/06/2011,male
ευαγγελος βενιζελος,υπουργος οικονομικων,17/06/2011,11/11/2011,male
ευαγγελος βενιζελος,αντιπροεδρος της κυβερνησης,17/06/2011,11/11/2011,male
ευαγγελος βενιζελος,υπουργος οικονομικων,11/11/2011,21/03/2012,male
ευαγγελος βενιζελος,αντιπροεδρος της κυβερνησης,11/11/2011,21/03/2012,male
ευαγγελος βενιζελος,υπουργος εξωτερικων,25/06/2013,27/01/2015,male
ευαγγελος βενιζελος,αντιπροεδρος της κυβερνησης,25/06/2013,27/01/2015,male
ευαγγελος γιαννοπουλος,υπουργος εργασιας,13/10/1993,08/07/1994,male
ευαγγελος γιαννοπουλος,υπουργος εργασιας και κοινωνικων ασφαλισεων,22/01/1996,25/09/1996,male
ευαγγελος γιαννοπουλος,υπουργος δικαιοςυνης,25/09/1996,20/03/2000,male
ευαγγελος λιβιερατος,υπουργος περιβαλλοντος ενεργειας και κλιματικης αλλαγης,21/06/2012,25/06/2013,male
ευαγγελος μαλεσιος,υφυπουργος δημοσιας ταξης,24/10/2001,15/04/2003,male
ευαγγελος μειμαρακης,υφυπουργος πολιτισμου,03/12/1992,13/10/1993,male
ευαγγελος μπασιακος,υφυπουργος γεωργιας,03/12/1992,13/10/1993,male
ευαγγελος μπασιακος,υφυπουργος αγροτικης αναπτυξης και τροφιμων,10/03/2004,23/09/2004,male
ευαγγελος μπασιακος,υπουργος αγροτικης αναπτυξης και τροφιμων,23/09/2004,19/09/2007,male
ευαγγελος-βασιλειος μειμαρακης,υπουργος εθνικης αμυνας,15/02/2006,19/09/2007,male
ευαγγελος-βασιλειος μειμαρακης,υπουργος εθνικης αμυνας,19/09/2007,07/10/2009,male
ευθυμιος χριστοδουλου,αναπληρωτης υπουργος εξωτερικων,11/04/1990,01/10/1990,male
ευθυμιος χριστοδουλου,αναπληρωτης υπουργος εθνικης οικονομιας,01/10/1990,08/08/1991,male
ευθυμιος χριστοδουλου,υπουργος εθνικης οικονομιας,08/08/1991,17/02/1992,male
ευκλειδης τσακαλωτος,αναπληρωτης υπουργος εξωτερικων,27/01/2015,06/07/2015,male
ευκλειδης τσακαλωτος,υπουργος οικονομικων,06/07/2015,27/08/2015,male
ευκλειδης τσακαλωτος,υπουργος οικονομικων,23/09/2015,09/07/2019,male
ευριπιδης στυλιανιδης,υφυπουργος εξωτερικων,18/03/2004,19/09/2007,male
ευριπιδης στυλιανιδης,υπουργος μεταφορων και επικοινωνιων,08/01/2009,07/10/2009,male
ευριπιδης στυλιανιδης,υπουργος εθνικης παιδειας και θρησκευματων,19/09/2007,07/01/2009,male
ευριπιδης στυλιανιδης,υπουργος εσωτερικων,21/06/2012,25/06/2013,male
ευσταθιος γιαννακιδης,υφυπουργος οικονομιας και αναπτυξης,29/08/2018,09/07/2019,male
ευτυχια αχτσιογλου,υπουργος εργασιας κοινωνικης ασφαλισης και κοινωνικης αλληλεγγυης,05/11/2016,09/07/2019,female
ζωη μακρη,υφυπουργος υγειας,25/06/2013,10/06/2014,female
ηλιας ευθυμιοπουλος,υφυπουργος περιβαλλοντος χωροταξιας και δημοσιων εργων,13/04/2000,24/10/2001,male
ηλιας μοσιαλος,υπουργος επικρατειας,17/06/2011,11/11/2011,male
θεανω φωτιου,αναπληρωτης υπουργος εργασιας και κοινωνικης αλληλεγγυης,27/01/2015,27/08/2015,female
θεανω φωτιου,αναπληρωτης υπουργος εργασιας κοινωνικης ασφαλισης και κοινωνικης αλληλεγγυης,23/09/2015,09/07/2019,female
θεμιστοκλης ξανθοπουλος,υφυπουργος περιβαλλοντος χωροταξιας και δημοσιων εργων,10/03/2004,19/09/2007,male
θεμιστοκλης ξανθοπουλος,υφυπουργος περιβαλλοντος χωροταξιας και δημοσιων εργων,19/09/2007,07/10/2009,male
θεοδοσης πελεγρινης,υφυπουργος παιδειας ερευνας και θρησκευματων,23/09/2015,05/11/2016,male
θεοδωρα μπακογιαννη,υπουργος πολιτισμου,07/12/1992,13/10/1993,female
θεοδωρα μπακογιαννη,υφυπουργος στον πρωθυπουργο,01/10/1990,03/12/1992,female
θεοδωρα μπακογιαννη,υπουργος εξωτερικων,15/02/2006,19/09/2007,female
θεοδωρα μπακογιαννη,υπουργος εξωτερικων,19/09/2007,07/10/2009,female
θεοδωρα τζακρη,υφυπουργος εσωτερικων αποκεντρωσης και ηλεκτρονικης διακυβερνησης,07/10/2009,27/06/2011,female
θεοδωρα τζακρη,υφυπουργος οικονομιας αναπτυξης και τουρισμου,23/09/2015,05/11/2016,female
θεοδωρος αναγνωστοπουλος,υπουργος δημοσιας ταξης,08/08/1991,03/12/1992,male
θεοδωρος αναγνωστοπουλος,υπουργος μεταφορων και επικοινωνιων,03/12/1992,13/10/1993,male
θεοδωρος γκαμαλετσος,υπουργος εμποριου,12/10/1989,23/11/1989,male
θεοδωρος γκαμαλετσος,υπουργος εμποριου,13/02/1990,11/04/1990,male
